,DATE,TIME,GAZR,GMKN,LKOH,SBRF,VTBR,RTS
100,20210114,130000,22862.0,26550.0,58946.0,28452.0,4006.0,149070.0
101,20210114,140000,22874.0,26490.0,59158.0,28805.0,4007.0,149570.0
102,20210114,150000,22856.0,26479.0,59370.0,28840.0,3994.0,149770.0
103,20210114,160000,23005.0,26581.0,59460.0,28686.0,3998.0,149780.0
104,20210114,170000,22960.0,26515.0,59172.0,28512.0,3998.0,149100.0
105,20210114,180000,23106.0,26490.0,59476.0,28726.0,4028.0,150080.0
106,20210114,190000,23002.0,26548.0,59368.0,28655.0,4017.0,149970.0
107,20210114,200000,23065.0,26502.0,59363.0,28686.0,4016.0,150200.0
108,20210114,210000,23099.0,26555.0,59588.0,28700.0,4022.0,150650.0
109,20210114,220000,23078.0,26630.0,59600.0,28718.0,4028.0,150500.0
110,20210114,230000,23050.0,26603.0,59665.0,28715.0,4031.0,150450.0
111,20210115,0,23070.0,26612.0,59775.0,28699.0,4016.0,150500.0
112,20210115,110000,23088.0,26427.0,59360.0,28624.0,4132.0,149560.0
113,20210115,120000,22976.0,26230.0,59879.0,28536.0,4112.0,149440.0
114,20210115,130000,23083.0,26417.0,60169.0,28700.0,4122.0,150410.0
115,20210115,140000,22999.0,26441.0,59829.0,28624.0,4123.0,149820.0
116,20210115,150000,22998.0,26270.0,59708.0,28369.0,4114.0,149280.0
117,20210115,160000,22924.0,26211.0,59584.0,28090.0,4087.0,148830.0
118,20210115,170000,22975.0,26244.0,59469.0,28095.0,4086.0,148700.0
119,20210115,180000,22998.0,26300.0,59786.0,27930.0,4082.0,148650.0
120,20210115,190000,22770.0,26028.0,59253.0,27857.0,3992.0,147250.0
121,20210115,200000,22853.0,26028.0,59276.0,27904.0,3979.0,147720.0
122,20210115,210000,22821.0,25978.0,59178.0,27906.0,3983.0,147640.0
123,20210115,220000,22825.0,26037.0,59335.0,27881.0,3994.0,147710.0
124,20210115,230000,22821.0,26022.0,59239.0,27875.0,3992.0,147640.0
125,20210116,0,22812.0,26030.0,59377.0,27890.0,3988.0,147340.0
126,20210118,110000,22461.0,26070.0,58545.0,27575.0,3909.0,145980.0
127,20210118,120000,22544.0,25800.0,58801.0,27799.0,3924.0,146140.0
128,20210118,130000,22711.0,25852.0,59109.0,27889.0,3939.0,146190.0
129,20210118,140000,22778.0,26031.0,59199.0,28178.0,3965.0,147020.0
130,20210118,150000,22942.0,26098.0,59262.0,28156.0,3959.0,147320.0
131,20210118,160000,22886.0,26003.0,59005.0,28102.0,3940.0,146810.0
132,20210118,170000,22968.0,26050.0,59164.0,28210.0,3949.0,147360.0
133,20210118,180000,22954.0,25974.0,59110.0,28239.0,3945.0,147380.0
134,20210118,190000,22995.0,25996.0,59102.0,28263.0,3940.0,147290.0
135,20210118,200000,22883.0,26017.0,59182.0,28154.0,3945.0,147460.0
136,20210118,210000,22831.0,25978.0,59080.0,28103.0,3938.0,147360.0
137,20210118,220000,22852.0,25994.0,59056.0,28128.0,3940.0,147380.0
138,20210118,230000,22845.0,25995.0,59100.0,28175.0,3944.0,147480.0
139,20210119,0,22870.0,26073.0,59124.0,28185.0,3949.0,147660.0
140,20210119,110000,22879.0,26245.0,59510.0,28373.0,3957.0,148740.0
141,20210119,120000,22752.0,26115.0,59604.0,28209.0,3926.0,148080.0
142,20210119,130000,22860.0,26293.0,59520.0,28129.0,3927.0,148430.0
143,20210119,140000,22800.0,26202.0,59506.0,28120.0,3923.0,148130.0
144,20210119,150000,22733.0,26199.0,59553.0,28271.0,3924.0,148140.0
145,20210119,160000,22748.0,26148.0,59629.0,28177.0,3921.0,148060.0
146,20210119,170000,22575.0,26091.0,59492.0,28093.0,3910.0,147310.0
147,20210119,180000,22522.0,25987.0,59516.0,27963.0,3904.0,146950.0
148,20210119,190000,22451.0,26052.0,59332.0,27908.0,3888.0,146950.0
149,20210119,200000,22562.0,25978.0,59160.0,27930.0,3897.0,147030.0
150,20210119,210000,22564.0,25950.0,59119.0,27923.0,3895.0,146990.0
151,20210119,220000,22560.0,25994.0,59034.0,27896.0,3902.0,147020.0
152,20210119,230000,22504.0,26005.0,59200.0,27970.0,3899.0,147220.0
153,20210120,0,22486.0,26002.0,59269.0,27996.0,3898.0,147200.0
154,20210120,110000,22597.0,26151.0,59532.0,28032.0,3907.0,148700.0
155,20210120,120000,22691.0,26616.0,59810.0,28089.0,3917.0,149210.0
156,20210120,130000,22683.0,26615.0,59547.0,28120.0,3913.0,148950.0
